time,open,high,low,close,high_pct,low_pct,close_pct,target
2011-11-28 00:00:00,18019.21,18095.2,17954.19,18037.81,,,,0
2011-11-29 00:00:00,18225.1,18372.45,18053.92,18256.2,0.018552141307619906,0.0008931239435384309,0.012107345625660732,0
2011-11-30 00:00:00,18192.29,18192.29,17860.8,17989.35,-0.0035007285196262013,-0.021658395503993243,-0.014616952049166977,0
2011-12-01 00:00:00,19033.96,19050.56,18868.32,19002.26,0.058991014127803554,0.04886057584070582,0.056306092215672045,0
2011-12-02 00:00:00,18977.2,19151.65,18878.31,19040.39,0.007861696450843376,-0.006522908327746126,0.0020066034250663355,0
2011-12-05 00:00:00,19117.89,19188.86,18972.9,19179.69,0.007797634397194657,-0.0035445702530251724,0.00731602661500102,0
2011-12-06 00:00:00,19011.81,19038.48,18818.68,18942.23,-0.007362475618740404,-0.018822514858164986,-0.012380804903520294,0
2011-12-07 00:00:00,19114.02,19242.8,19009.43,19240.58,0.01586771990415066,0.0035476287638784203,0.01575052145391552,0
2011-12-08 00:00:00,19112.33,19137.56,18956.41,19107.81,-0.0053543084460032095,-0.014769305291212733,-0.00690051963090512,0
2011-12-09 00:00:00,18721.16,18840.93,18511.42,18586.23,-0.013967063729438433,-0.03121184479016711,-0.02729669177158459,0
2011-12-12 00:00:00,18853.32,18919.42,18508.12,18575.66,0.017926712410208993,-0.0042025736257433905,-0.0005687005917821801,0
2011-12-13 00:00:00,18327.45,18465.39,18297.66,18447.17,-0.005936262829961381,-0.01496582086450764,-0.006917116269354715,0
2011-12-14 00:00:00,18301.05,18476.15,18280.67,18354.43,0.0015709726749416418,-0.009025774685222721,-0.005027329395240461,0
2011-12-15 00:00:00,18122.73,18133.94,17895.15,18026.84,-0.012012903696818783,-0.02502284189702425,-0.017848007265820847,0
2011-12-16 00:00:00,18025.6,18390.41,18025.6,18285.39,0.020168260216432813,-6.878632084167834e-05,0.014342502623865263,0
2011-12-19 00:00:00,18053.64,18092.35,17821.52,18070.21,-0.010557062222900407,-0.025368340516663795,-0.011767864945729914,0
2011-12-20 00:00:00,18044.75,18270.7,18010.26,18080.2,0.011095056449261054,-0.0033176150138820044,0.0005528436028137804,0
2011-12-21 00:00:00,18462.64,18473.19,18288.65,18416.45,0.021735932124644527,0.01152918662404181,0.01859769250340151,0
2011-12-22 00:00:00,18356.87,18388.01,18238.38,18378.23,-0.001544271561566009,-0.009669073029818434,-0.0020753185331592768,0
2011-12-23 00:00:00,18589.68,18636.75,18539.59,18629.17,0.014066642979220547,0.00877995323815191,0.013654198472867012,0
2011-12-28 00:00:00,18621.5,18621.5,18461.97,18518.67,-0.0004117198994908659,-0.008975171733362094,-0.0059315578740223,0
2011-12-29 00:00:00,18329.61,18409.12,18293.81,18397.92,-0.005915651609969792,-0.01214234067565311,-0.0065204466627463,0
2011-12-30 00:00:00,18489.04,18506.27,18415.85,18434.39,0.005889252698131212,0.0009745666901475978,0.0019822893022690157,0
