time,open,high,low,close,tick_volume,spread,real_volume
2011-11-28 00:00:00,18019.21,18095.2,17954.19,18037.81,26343,0,0
2011-11-29 00:00:00,18225.1,18372.45,18053.92,18256.2,60597,0,0
2011-11-30 00:00:00,18192.29,18192.29,17860.8,17989.35,46005,0,0
2011-12-01 00:00:00,19033.96,19050.56,18868.32,19002.26,33279,0,0
2011-12-02 00:00:00,18977.2,19151.65,18878.31,19040.39,48350,0,0
2011-12-05 00:00:00,19117.89,19188.86,18972.9,19179.69,37013,0,0
2011-12-06 00:00:00,19011.81,19038.48,18818.68,18942.23,37003,0,0
2011-12-07 00:00:00,19114.02,19242.8,19009.43,19240.58,34019,0,0
2011-12-08 00:00:00,19112.33,19137.56,18956.41,19107.81,35779,0,0
2011-12-09 00:00:00,18721.16,18840.93,18511.42,18586.23,52410,0,0
2011-12-12 00:00:00,18853.32,18919.42,18508.12,18575.66,54495,0,0
2011-12-13 00:00:00,18327.45,18465.39,18297.66,18447.17,21575,0,0
2011-12-14 00:00:00,18301.05,18476.15,18280.67,18354.43,33759,0,0
2011-12-15 00:00:00,18122.73,18133.94,17895.15,18026.84,38170,0,0
2011-12-16 00:00:00,18025.6,18390.41,18025.6,18285.39,46984,0,0
2011-12-19 00:00:00,18053.64,18092.35,17821.52,18070.21,52510,0,0
2011-12-20 00:00:00,18044.75,18270.7,18010.26,18080.2,48544,0,0
2011-12-21 00:00:00,18462.64,18473.19,18288.65,18416.45,32290,0,0
2011-12-22 00:00:00,18356.87,18388.01,18238.38,18378.23,27791,0,0
2011-12-23 00:00:00,18589.68,18636.75,18539.59,18629.17,15484,0,0
2011-12-28 00:00:00,18621.5,18621.5,18461.97,18518.67,21624,0,0
2011-12-29 00:00:00,18329.61,18409.12,18293.81,18397.92,16232,0,0
2011-12-30 00:00:00,18489.04,18506.27,18415.85,18434.39,12620,0,0
2012-01-03 00:00:00,18770.64,18886.12,18724.17,18877.41,21714,0,0
2012-01-04 00:00:00,18970.6,18970.6,18687.94,18727.31,32204,0,0
2012-01-05 00:00:00,18753.38,18821.09,18723.28,18813.41,13560,0,0
2012-01-06 00:00:00,18784.86,18784.86,18506.58,18593.06,36477,0,0
2012-01-09 00:00:00,18588.36,18884.26,18302.84,18865.72,88549,0,0
2012-01-10 00:00:00,18948.12,19086.53,18858.57,19004.28,39977,0,0
2012-01-11 00:00:00,19071.9,19175.85,18983.14,19151.94,30539,0,0
2012-01-12 00:00:00,19112.76,19261.29,19050.95,19095.38,40331,0,0
2012-01-13 00:00:00,19232.21,19232.21,19073.18,19204.42,29028,0,0
2012-01-16 00:00:00,19070.74,19070.74,18985.75,19012.2,11145,0,0
2012-01-17 00:00:00,19198.09,19640.28,19173.29,19627.75,50433,0,0
2012-01-18 00:00:00,19651.59,19726.84,19577.07,19686.92,26422,0,0
2012-01-19 00:00:00,19842.46,19956.54,19776.32,19942.95,25996,0,0
2012-01-20 00:00:00,20161.72,20161.72,19927.88,20110.37,41634,0,0
2012-01-26 00:00:00,20453.47,20453.47,20301.59,20439.14,28944,0,0
2012-01-27 00:00:00,20443.46,20590.8,20384.05,20501.67,35530,0,0
